DIA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
03 MAI 2020,50-59,3.0,0.0
03 MAI 2020,60-69,0.0,2.0
03 MAI 2020,70-79,0.0,6.0
03 MAI 2020,80+,4.0,12.0
04 MAI 2020,0-9,14.0,0.0
04 MAI 2020,10-19,15.0,0.0
04 MAI 2020,20-29,51.0,0.0
04 MAI 2020,30-39,62.0,0.0
04 MAI 2020,40-49,38.0,0.0
04 MAI 2020,50-59,60.0,0.0
04 MAI 2020,60-69,21.0,1.0
04 MAI 2020,70-79,26.0,8.0
04 MAI 2020,80+,36.0,11.0
05 MAI 2020,0-9,11.0,0.0
05 MAI 2020,10-19,4.0,0.0
05 MAI 2020,20-29,21.0,1.0
05 MAI 2020,30-39,15.0,0.0
05 MAI 2020,40-49,15.0,0.0
05 MAI 2020,50-59,11.0,1.0
05 MAI 2020,60-69,25.0,1.0
05 MAI 2020,70-79,31.0,1.0
05 MAI 2020,80+,45.0,7.0
06 MAI 2020,0-9,3.0,0.0
06 MAI 2020,10-19,8.0,0.0
06 MAI 2020,20-29,100.0,0.0
06 MAI 2020,30-39,96.0,0.0
06 MAI 2020,40-49,112.0,0.0
06 MAI 2020,50-59,88.0,0.0
06 MAI 2020,60-69,33.0,2.0
06 MAI 2020,70-79,11.0,2.0
06 MAI 2020,80+,29.0,11.0
07 MAI 2020,0-9,15.0,0.0
07 MAI 2020,10-19,22.0,0.0
07 MAI 2020,20-29,99.0,0.0
07 MAI 2020,30-39,106.0,0.0
07 MAI 2020,40-49,105.0,0.0
07 MAI 2020,50-59,84.0,0.0
07 MAI 2020,60-69,46.0,0.0
07 MAI 2020,70-79,14.0,5.0
07 MAI 2020,80+,42.0,11.0
08 MAI 2020,0-9,10.0,0.0
08 MAI 2020,10-19,15.0,0.0
08 MAI 2020,20-29,77.0,0.0
08 MAI 2020,30-39,115.0,0.0
08 MAI 2020,40-49,105.0,0.0
08 MAI 2020,50-59,90.0,0.0
08 MAI 2020,60-69,63.0,0.0
08 MAI 2020,70-79,29.0,3.0
08 MAI 2020,80+,49.0,6.0
09 MAI 2020,0-9,1.0,0.0
09 MAI 2020,10-19,12.0,0.0
09 MAI 2020,20-29,12.0,0.0
09 MAI 2020,30-39,20.0,0.0
09 MAI 2020,40-49,16.0,1.0
09 MAI 2020,50-59,16.0,3.0
09 MAI 2020,60-69,20.0,2.0
09 MAI 2020,70-79,21.0,0.0
09 MAI 2020,80+,20.0,6.0
10 MAI 2020,0-9,3.0,0.0
10 MAI 2020,10-19,11.0,0.0
10 MAI 2020,20-29,33.0,0.0
10 MAI 2020,30-39,31.0,0.0
10 MAI 2020,40-49,26.0,0.0
10 MAI 2020,50-59,36.0,0.0
10 MAI 2020,60-69,17.0,0.0
10 MAI 2020,70-79,14.0,1.0
10 MAI 2020,80+,4.0,8.0
11 MAI 2020,0-9,5.0,0.0
11 MAI 2020,10-19,7.0,0.0
11 MAI 2020,20-29,19.0,0.0
11 MAI 2020,30-39,6.0,0.0
11 MAI 2020,40-49,9.0,0.0
11 MAI 2020,50-59,16.0,0.0
11 MAI 2020,60-69,8.0,2.0
11 MAI 2020,70-79,5.0,1.0
11 MAI 2020,80+,23.0,6.0
12 MAI 2020,0-9,5.0,0.0
12 MAI 2020,10-19,15.0,0.0
12 MAI 2020,20-29,38.0,0.0
12 MAI 2020,30-39,38.0,0.0
12 MAI 2020,40-49,44.0,1.0
12 MAI 2020,50-59,37.0,2.0
12 MAI 2020,60-69,17.0,2.0
12 MAI 2020,70-79,7.0,3.0
12 MAI 2020,80+,33.0,11.0
13 MAI 2020,0-9,6.0,0.0
13 MAI 2020,10-19,8.0,0.0
13 MAI 2020,20-29,39.0,0.0
13 MAI 2020,30-39,45.0,0.0
13 MAI 2020,40-49,35.0,0.0
13 MAI 2020,50-59,36.0,0.0
13 MAI 2020,60-69,8.0,3.0
13 MAI 2020,70-79,17.0,1.0
13 MAI 2020,80+,25.0,8.0
